SessionKey,x,y,stage,measure_id,CurrentLocation,proceed,tooltip,url
2017R1,1,1,passed_senate,HB2002,Chapter Number Assigned,TRUE,<strong>HB2002</strong><p>Expands laws regarding preservation of<br/>participating properties that are publicly<br/>supported housing.</p>,https://olis.leg.state.or.us/liz/2017R1/Measures/Overview/HB2002
2017R1,1,2,passed_senate,HB2005,Chapter Number Assigned,TRUE,<strong>HB2005</strong><p>Provides definitions relating to comparable work<br/>for purposes of pay equity provisions.</p>,https://olis.leg.state.or.us/liz/2017R1/Measures/Overview/HB2005
2017R1,1,3,passed_senate,HB2008,Chapter Number Assigned,TRUE,<strong>HB2008</strong><p>Updates amount landlord must pay tenant of<br/>manufactured dwelling park upon closure of park to<br/>convert to other use.</p>,https://olis.leg.state.or.us/liz/2017R1/Measures/Overview/HB2008
2017R1,1,4,passed_senate,HB2012,Chapter Number Assigned,TRUE,"<strong>HB2012</strong><p>Defines ""Eastern Oregon Border Economic<br/>Development Region."" Establishes Eastern<br/>Oregon Border Economic Development Board, in<br/>collaboration with Oregon Business Development<br/>Department, to formulate and implement strategies<br/>and practices for strategic investment in<br/>workforce development and economic development in<br/>Eastern Oregon Border Economic Development Region<br/>and to make grants or loans to eligible applicants<br/>to encourage workforce development and economic<br/>development in region.</p>",https://olis.leg.state.or.us/liz/2017R1/Measures/Overview/HB2012
2017R1,1,5,passed_senate,HB2013,Chapter Number Assigned,TRUE,<strong>HB2013</strong><p>Modifies requirements for preschool program<br/>administered by Early Learning Division.</p>,https://olis.leg.state.or.us/liz/2017R1/Measures/Overview/HB2013
2017R1,1,6,passed_senate,HB2015,Chapter Number Assigned,TRUE,"<strong>HB2015</strong><p>Directs Oregon Health Authority, in coordination<br/>with Traditional Health Workers Commission, to<br/>biennially review, and revise if necessary, any<br/>reimbursement rates for doulas.</p>",https://olis.leg.state.or.us/liz/2017R1/Measures/Overview/HB2015
2017R1,1,7,passed_senate,HB2017,Chapter Number Assigned,TRUE,<strong>HB2017</strong><p>Modifies and adds laws related to transportation.</p>,https://olis.leg.state.or.us/liz/2017R1/Measures/Overview/HB2017
2017R1,1,8,passed_senate,HB2022,Chapter Number Assigned,TRUE,"<strong>HB2022</strong><p>Excludes volumetric mixers from definition<br/>of ""fixed load vehicle."" Makes additional<br/>nonsubstantive housekeeping changes to definition.</p>",https://olis.leg.state.or.us/liz/2017R1/Measures/Overview/HB2022
2017R1,1,9,passed_senate,HB2030,Chapter Number Assigned,TRUE,<strong>HB2030</strong><p>Removes certain restriction on number of<br/>nonresident annual black bear tags that may be<br/>issued by State Fish and Wildlife Commission for<br/>general hunting season.</p>,https://olis.leg.state.or.us/liz/2017R1/Measures/Overview/HB2030
2017R1,1,10,passed_senate,HB2031,Chapter Number Assigned,TRUE,<strong>HB2031</strong><p>Permits owner of Metolius resort site to apply<br/>to county for approval of small-scale recreation<br/>community within three years if owner meets<br/>certain requirements.</p>,https://olis.leg.state.or.us/liz/2017R1/Measures/Overview/HB2031
2017R1,1,11,passed_senate,HB2038,Chapter Number Assigned,TRUE,<strong>HB2038</strong><p>Modifies purposes for which school districts may<br/>receive grants to pay for costs incurred by school<br/>districts to purchase food produced or processed<br/>in state.</p>,https://olis.leg.state.or.us/liz/2017R1/Measures/Overview/HB2038
2017R1,1,12,passed_senate,HB2066,Chapter Number Assigned,TRUE,"<strong>HB2066</strong><p>Extends sunset for tax credits for reservation<br/>enterprise zones, affordable housing lenders,<br/>rural medical providers and fish screening<br/>devices.</p>",https://olis.leg.state.or.us/liz/2017R1/Measures/Overview/HB2066
2017R1,1,13,passed_senate,HB2088,Chapter Number Assigned,TRUE,"<strong>HB2088</strong><p>Authorizes city within county with population<br/>greater than 700,000 to define ""area"" as city in<br/>which property is located, for purposes of certain<br/>ad valorem property taxation statutes.</p>",https://olis.leg.state.or.us/liz/2017R1/Measures/Overview/HB2088
2017R1,1,14,passed_senate,HB2089,Chapter Number Assigned,TRUE,<strong>HB2089</strong><p>Allows liquor stores and distillery retail outlet<br/>agents to sell vermouth.</p>,https://olis.leg.state.or.us/liz/2017R1/Measures/Overview/HB2089
2017R1,1,15,passed_senate,HB2090,Chapter Number Assigned,TRUE,"<strong>HB2090</strong><p>Provides that person engages in unlawful trade<br/>practice if person publishes on website related<br/>to person's business, or in consumer agreement<br/>related to consumer transaction, statement or<br/>representation of fact in which person asserts<br/>that person, in particular manner or for<br/>particular purposes, will use, disclose, collect,<br/>maintain, delete or dispose of information<br/>that person requests, requires or receives from<br/>consumer and person uses, discloses, collects,<br/>maintains, deletes or disposes of in</p>",https://olis.leg.state.or.us/liz/2017R1/Measures/Overview/HB2090
2017R1,1,16,passed_senate,HB2091,Chapter Number Assigned,TRUE,<strong>HB2091</strong><p>Authorizes Public Utility Commission to use<br/>universal service fund moneys to encourage<br/>broadband service availability and to provide<br/>support to telecommunications carriers that<br/>provide both basic telephone service and broadband<br/>service.</p>,https://olis.leg.state.or.us/liz/2017R1/Measures/Overview/HB2091
2017R1,1,17,passed_senate,HB2095,Chapter Number Assigned,TRUE,<strong>HB2095</strong><p>Allows metropolitan service district to revise<br/>demonstration of sufficient buildable lands on<br/>single occasion under certain circumstances and<br/>to expand urban growth boundary if metropolitan<br/>service district concludes expansion is warranted.</p>,https://olis.leg.state.or.us/liz/2017R1/Measures/Overview/HB2095
2017R1,1,18,passed_senate,HB2099,Chapter Number Assigned,TRUE,<strong>HB2099</strong><p>Changes water management and conservation plan<br/>approval condition for extension of time to<br/>construct works or perfect right for municipal use<br/>of water.</p>,https://olis.leg.state.or.us/liz/2017R1/Measures/Overview/HB2099
2017R1,1,19,passed_senate,HB2100,Chapter Number Assigned,TRUE,<strong>HB2100</strong><p>Provides that portion of U.S. Highway 20 shall be<br/>known as Oregon Medal of Honor Highway.</p>,https://olis.leg.state.or.us/liz/2017R1/Measures/Overview/HB2100
2017R1,1,20,passed_senate,HB2101,Chapter Number Assigned,TRUE,"<strong>HB2101</strong><p>Directs Legislative Counsel to prepare open<br/>government impact statement for measures that<br/>affect disclosure, or exemption from disclosure,<br/>of public records.</p>",https://olis.leg.state.or.us/liz/2017R1/Measures/Overview/HB2101
2017R1,2,1,passed_senate,HB2103,Chapter Number Assigned,TRUE,<strong>HB2103</strong><p>Permits licensed nurse practitioners to perform<br/>vasectomies.</p>,https://olis.leg.state.or.us/liz/2017R1/Measures/Overview/HB2103
2017R1,2,2,passed_senate,HB2111,Chapter Number Assigned,TRUE,<strong>HB2111</strong><p>Prohibits inclusion of provisions prohibiting<br/>installation and use of solar panels for obtaining<br/>solar access in declaration or bylaws of planned<br/>community.</p>,https://olis.leg.state.or.us/liz/2017R1/Measures/Overview/HB2111
2017R1,2,3,passed_senate,HB2113,Chapter Number Assigned,TRUE,<strong>HB2113</strong><p>Adds secular organizations to list of persons and<br/>entities authorized to solemnize marriages.</p>,https://olis.leg.state.or.us/liz/2017R1/Measures/Overview/HB2113
2017R1,2,4,passed_senate,HB2114,Chapter Number Assigned,TRUE,"<strong>HB2114</strong><p>Directs Oregon Medical Board, Oregon State Board<br/>of Nursing, Oregon Board of Naturopathic Medicine<br/>and Oregon Board of Dentistry to provide licensees<br/>of boards with opioid and opiate prescribing<br/>guidelines and recommendations established by<br/>association of licensee practitioners.</p>",https://olis.leg.state.or.us/liz/2017R1/Measures/Overview/HB2114
